group,sec,SCL_mean
vr_high,110,1.4041693250338236
vr_high,111,1.4003290722767512
vr_high,112,1.3962344919641814
vr_high,113,1.3916948984066646
vr_high,114,1.3885285625855126
vr_high,115,1.3841288263599079
vr_high,116,1.3790424237648644
vr_high,117,1.3777708073457082
vr_high,118,1.3849553883075714
vr_high,119,1.4019185960292815
vr_high,120,1.407246628900369
vr_high,121,1.400646978120009
vr_high,122,1.3920763929684956
vr_high,123,1.3849299530188244
vr_high,124,1.380237734814485
vr_high,125,1.376155872642994
vr_high,126,1.3756853664914768
vr_high,127,1.380987958610058
vr_high,128,1.3806065052747727
vr_high,129,1.3758888666828473
vr_high,130,1.3713110779722533
vr_high,131,1.3672801226377487
vr_high,132,1.3644953136642775
vr_high,133,1.3632236470778782
vr_high,134,1.360273519158363
vr_high,135,1.3578320761521656
vr_high,136,1.3568656340241432
vr_high,137,1.3587603246172268
vr_high,138,1.3758125518759092
vr_high,139,1.387295150756836
vr_high,140,1.379665520787239
vr_high,141,1.3711457644899685
vr_high,142,1.3654108323156835
vr_high,143,1.359523299833139
vr_high,144,1.3529236592352387
vr_high,145,1.3469725559155146
vr_high,146,1.342865277826786
vr_high,147,1.339012316862742
vr_high,148,1.3352610806624092
vr_high,149,1.3305943094193935
vr_high,150,1.3260292351245877
vr_high,151,1.3235750337441763
vr_high,152,1.324350719402234
vr_high,153,1.3254061604539553
vr_high,154,1.3237530787785847
vr_high,155,1.3190862817068891
vr_high,156,1.3146610920627912
vr_high,157,1.3098035636047523
vr_high,158,1.303229362765948
vr_high,159,1.2995798649887245
vr_high,160,1.296388115733862
vr_high,161,1.2999486257632573
vr_high,162,1.309358498702447
vr_high,163,1.3121178823212782
vr_high,164,1.312130590279897
vr_high,165,1.3081377526124318
vr_high,166,1.3034455741445223
vr_high,167,1.3001139245927333
vr_high,168,1.299478144447009
vr_high,169,1.3126646692554156
vr_high,170,1.3365835597117741
vr_high,171,1.3435392434398332
vr_high,172,1.339393808444341
vr_high,173,1.3488545430203278
vr_high,174,1.3696325580279032
vr_high,175,1.3753166330357394
vr_high,176,1.3817763646443684
vr_high,177,1.3820688374340533
vr_high,178,1.375036884099245
vr_high,179,1.363656012962262
vr_high,180,1.3647877437373002
vr_high,181,1.3841161410013834
vr_high,182,1.4140242725610734
