subject_id,session_type,method,signal,epoch,duration_s,HR_est_bpm,peak_count,HR_mean,HR_std,Motion_mean,Motion_p95,PVA_mean,PVA_std,SCL_mean,SCL_slope_per_min,SCR_pos_area,SCR_mean
4,meditation,custom,SCL,2,59.974999999999994,,,,,,,,,4.597625538110733,-0.44733206753129096,,
4,meditation,custom,SCL,3,59.974999999999994,,,,,,,,,4.291971215605736,-0.09409831983384896,,
4,meditation,custom,SCL,4,59.97500000000002,,,,,,,,,4.447376543482145,-0.290999478689179,,
4,meditation,custom,SCL,5,59.97500000000002,,,,,,,,,4.889739166299502,-0.33873578901675294,,
4,meditation,custom,SCL,6,14.675000000000011,,,,,,,,,4.57711724359162,1.515956181267046,,
4,meditation,custom,SCR,0,59.975,,,,,,,,,,,4.5718669676493375,0.06042461892153595
4,meditation,custom,SCR,1,59.974999999999994,,,,,,,,,,,3.6505228043042717,0.026614961760442382
4,meditation,custom,SCR,2,59.974999999999994,,,,,,,,,,,1.314044198871851,-0.020986229740041516
4,meditation,custom,SCR,3,59.974999999999994,,,,,,,,,,,1.145849846117925,-0.005215396676533898
4,meditation,custom,SCR,4,59.97500000000002,,,,,,,,,,,1.6928859210747749,-0.0022544994920311425
4,meditation,custom,SCR,5,59.97500000000002,,,,,,,,,,,3.827494615560682,0.011044314977161795
4,meditation,custom,SCR,6,14.675000000000011,,,,,,,,,,,0.9492849266418506,0.045107031722163425
4,meditation,custom,U_15_Temp       ,0,59.975,,,,,,,,,,,,
4,meditation,custom,U_15_Temp       ,1,59.974999999999994,,,,,,,,,,,,
4,meditation,custom,U_15_Temp       ,2,59.974999999999994,,,,,,,,,,,,
4,meditation,custom,U_15_Temp       ,3,59.974999999999994,,,,,,,,,,,,
4,meditation,custom,U_15_Temp       ,4,59.97500000000002,,,,,,,,,,,,
4,meditation,custom,U_15_Temp       ,5,59.97500000000002,,,,,,,,,,,,
4,meditation,custom,U_15_Temp       ,6,14.675000000000011,,,,,,,,,,,,
6,meditation,custom,BVP,0,59.975,228.09503959983326,228.0,,,,,,,,,,
6,meditation,custom,BVP,1,59.974999999999994,148.0616923718216,148.0,,,,,,,,,,
6,meditation,custom,BVP,2,59.974999999999994,142.05919132972073,142.0,,,,,,,,,,
6,meditation,custom,BVP,3,59.974999999999994,158.06586077532307,158.0,,,,,,,,,,
6,meditation,custom,BVP,4,56.39999999999998,162.76595744680856,153.0,,,,,,,,,,
6,meditation,custom,HR,0,59.975,,,71.29235717773437,16.940042407454975,,,,,,,,
6,meditation,custom,HR,1,59.974999999999994,,,83.17728856086731,7.702364988992255,,,,,,,,
6,meditation,custom,HR,2,59.974999999999994,,,82.95971936543782,8.00049760037597,,,,,,,,
6,meditation,custom,HR,3,59.974999999999994,,,84.92311523119609,7.699654286121613,,,,,,,,
6,meditation,custom,HR,4,56.39999999999998,,,86.92952601847313,5.287220253499713,,,,,,,,
6,meditation,custom,MOTION,0,59.975,,,,,0.03955887790458896,0.093396671116352,,,,,,
